worktree	saved_ref	local_only_files
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/V14-raspredelenie [zahod/V14-raspredelenie]	origin/main	ignored files not on GitHub: scratchpad/V14-raspredelenie-na-segodnya/
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/veb-priyom-zadach [veb-priyom-zadach]	origin/park/2026-09-25/wt-veb-priyom-zadach	ignored files not on GitHub: data/spetsmat.db-shm;data/spetsmat.db-wal
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/veb-raspredelenie-mvp [veb-raspredelenie-mvp]	origin/dizajn-dobivka	ignored files not on GitHub: data
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/veb-vhod-i-obshchee-sostoyanie [veb-vhod-i-obshchee-sostoyanie]	origin/dizajn-dobivka	ignored files not on GitHub: data
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/verstka-raspredeleniya [zahod/verstka-raspredeleniya]	origin/park/2026-09-25/wt-verstka-raspredeleniya	ignored files not on GitHub: data/spetsmat.db-shm;data/spetsmat.db-wal
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/vhod-organizatora-dorabotka [zahod/vhod-organizatora-dorabotka]	origin/dizajn-dobivka	ignored files not on GitHub: data/
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/vidy-zadach [zahod/vidy-zadach]	origin/main	ignored files not on GitHub: data/spetsmat.db-shm;data/spetsmat.db-wal
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/vnesenie-zadach [zahod/vnesenie-zadach]	origin/park/2026-09-25/wt-vnesenie-zadach	ignored files not on GitHub: data/spetsmat.db-shm;data/spetsmat.db-wal
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/vygruzka-v-tablicu [zahod/vygruzka-v-tablicu]	origin/main	ignored files not on GitHub: data/spetsmat.db-shm;data/spetsmat.db-wal
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/zamer-baza [zamer/baza-457342e]	origin/park/2026-09-25/wt-zamer-baza	ignored files not on GitHub: .zamer/
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/zamer-noch2 [zamer/noch2-01391ae]	origin/park/2026-09-25/wt-zamer-noch2	ignored files not on GitHub: .zamer/
/Users/ivanyakovlev/Documents/GitHub/spetsmat-bot-wt/zhurnal-setka [zahod/zhurnal-setka]	origin/park/2026-09-25/wt-zhurnal-setka	ignored files not on GitHub: data/spetsmat.db;scratchpad/zhurnal-setka/kopia.db;scratchpad/zhurnal-setka/kopia.db-shm;scratchpad/zhurnal-setka/kopia.db-wal;scratchpad/zhurnal-setka/proba.db;+5
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/chasovoj-ne-umiraet-molcha [zahod/chasovoj-ne-umiraet-molcha]	origin/park/2026-09-25/wt-chasovoj-ne-umiraet-molcha	ignored files not on GitHub: .claude/settings.local.json
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/chasovoj-zhurnal-volny [zahod/chasovoj-zhurnal-volny]	origin/park/2026-09-25/wt-chasovoj-zhurnal-volny	ignored files not on GitHub: scratchpad/chasovoj-zhurnal-volny/
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/dajdzhest-i-kanal [(detached)]	origin/main	ignored files not on GitHub: scratchpad/dajdzhest-i-kanal/
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/denezhnye-puly-i-proba-zhivosti-modeli [zahod/denezhnye-puly-i-proba-zhivosti-modeli]	origin/main	ignored files not on GitHub: scratchpad/denezhnye-puly-i-proba-zhivosti-modeli/
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/diagnoz-orkestratora [zahod/diagnoz-orkestratora]	origin/park/2026-09-25/wt-diagnoz-orkestratora	ignored files not on GitHub: scratchpad/diagnoz-orkestratora/
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/dirizher-po-zameru [zahod/dirizher-po-zameru]	origin/park/2026-09-25/wt-dirizher-po-zameru	ignored files not on GitHub: scratchpad/dirizher-po-zameru/
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/gejt-otlichaet-upotreblenie-ot-upominaniya [(detached)]	origin/main	ignored files not on GitHub: scratchpad/gejt-otlichaet-upotreblenie-ot-upominaniya/
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/gejt-sborki-v-generator [(detached)]	origin/park/2026-09-25/wt-gejt-sborki-v-generator	ignored files not on GitHub: scratchpad/gejt-sborki-v-generator/
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/gigiena-repozitoriya-worktree-vetki-vyvoz [zahod/gigiena-repozitoriya-worktree-vetki-vyvoz]	origin/main	ignored files not on GitHub: scratchpad/gigiena-repozitoriya-worktree-vetki-vyvoz/
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/huk-puti-v-zahodah [zahod/huk-puti-v-zahodah]	origin/main	ignored files not on GitHub: scratchpad/huk-puti-v-zahodah/
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/huk-start-sessii [zahod/huk-start-sessii]	origin/park/2026-09-25/wt-huk-start-sessii	ignored files not on GitHub: _studio/zhurnal/2026-09-12_orkestrator-razbor-i-pochinka/.hook-krugov-4baa78bf-aecb-4789-a5ef-24349a7a78f3;_studio/zhurnal/2026-09-12_orkestrator-razbor-i-pochinka/.hook-zastoj-4baa78bf-aecb-4789-a5ef-24349a7a78f3
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/huk-vyvoz-vetki [zahod/huk-vyvoz-vetki]	origin/main	ignored files not on GitHub: scratchpad/huk-vyvoz-vetki/
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/huki-karkas [zahod/huki-karkas]	origin/park/2026-09-25/wt-huki-karkas	ignored files not on GitHub: scratchpad/huki-karkas/
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/kanaly-razvedka-sud-pochinka [zahod/kanaly-razvedka-sud-pochinka]	origin/park/2026-09-25/wt-kanaly-razvedka-sud-pochinka	ignored files not on GitHub: scratchpad/kanaly-razvedka-sud-pochinka/
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/karta-mashiny-v2 [zahod/karta-mashiny-v2]	origin/park/2026-09-25/wt-karta-mashiny-v2	ignored files not on GitHub: scratchpad/karta-mashiny-v2/
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/konvejer-suda-urokov [zahod/konvejer-suda-urokov]	origin/park/2026-09-25/wt-konvejer-suda-urokov	ignored files not on GitHub: scratchpad/konvejer-suda-urokov/
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/lenta-mat-blok-i-dvizhok-dokumenta [(detached)]	origin/main	ignored files not on GitHub: scratchpad/lenta-mat-blok-i-dvizhok-dokumenta/
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/limit-kak-limit [zahod/limit-kak-limit]	origin/park/2026-09-25/wt-limit-kak-limit	ignored files not on GitHub: scratchpad/limit-kak-limit/
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/mandat-proizvoditsya-konvejerom-a-ne-pamyatyu [zahod/mandat-proizvoditsya-konvejerom-a-ne-pamyatyu]	origin/main	ignored files not on GitHub: scratchpad/mandat-proizvoditsya-konvejerom-a-ne-pamyatyu/
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/otsechki-vo-vseh-domah-pokrytie-po-korpusu [(detached)]	origin/main	ignored files not on GitHub: scratchpad/otsechki-vo-vseh-domah-pokrytie-po-korpusu/
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/podmetanie-raz-na-volnu [zahod/podmetanie-raz-na-volnu]	origin/main	ignored files not on GitHub: scratchpad/podmetanie-raz-na-volnu/
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/pokrytie-geyt-i-schyotchik [zahod/pokrytie-geyt-i-schyotchik]	origin/main	ignored files not on GitHub: scratchpad/pokrytie-geyt-i-schyotchik/
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/pre-commit-odin-diff [zahod/pre-commit-odin-diff]	origin/park/2026-09-25/wt-pre-commit-odin-diff	ignored files not on GitHub: scratchpad/pre-commit-odin-diff/
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/predlozhenie-yadra-skilla [zahod/predlozhenie-yadra-skilla]	origin/park/2026-09-25/wt-predlozhenie-yadra-skilla	ignored files not on GitHub: scratchpad/predlozhenie-yadra-skilla/
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/priyomka-cherez-priyomshchika [zahod/priyomka-cherez-priyomshchika]	origin/park/2026-09-25/wt-priyomka-cherez-priyomshchika	ignored files not on GitHub: scratchpad/priyomka-cherez-priyomshchika/
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/reviziya-metki-chernyj-kvadrat [(detached)]	origin/main	ignored files not on GitHub: scratchpad/reviziya-metki-chernyj-kvadrat/
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/rezolver-fajl-v-skille [zahod/rezolver-fajl-v-skille]	origin/park/2026-09-25/wt-rezolver-fajl-v-skille	ignored files not on GitHub: scratchpad/rezolver-fajl-v-skille/
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/sborshchik-chetyre-roli [zahod/sborshchik-chetyre-roli]	origin/park/2026-09-25/wt-sborshchik-chetyre-roli	ignored files not on GitHub: scratchpad/sborshchik-chetyre-roli/
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/sborshchik-i-vedushchij-porog-ostanovki-razvilki [zahod/sborshchik-i-vedushchij-porog-ostanovki-razvilki]	origin/main	ignored files not on GitHub: scratchpad/sborshchik-i-vedushchij-porog-ostanovki-razvilki/
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/sklejka [zahod/sklejka-sajta-i-vhoda]	origin/main	ignored files not on GitHub: scratchpad/sklejka-sajta-i-vhoda/
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/slim-preambula-zahoda [(detached)]	origin/park/2026-09-25/wt-slim-preambula-zahoda	ignored files not on GitHub: scratchpad/slim-preambula-zahoda/
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/sostav-s-zavisimostyami [(detached)]	origin/park/2026-09-25/wt-sostav-s-zavisimostyami	ignored files not on GitHub: scratchpad/sostav-s-zavisimostyami/
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/sud-nad-218-urokami-partiyami [(detached)]	origin/main	ignored files not on GitHub: scratchpad/sud-nad-218-urokami-partiyami/
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/uzel-f0-sostav-2 [zahod/uzel-f0-sostav-2]	origin/park/2026-09-25/wt-uzel-f0-sostav-2	ignored files not on GitHub: scratchpad/uzel-f0-sostav-2/
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/uzel-f6-dostavka [zahod/uzel-f6-dostavka]	origin/park/2026-09-25/wt-uzel-f6-dostavka	ignored files not on GitHub: scratchpad/uzel-f6-dostavka/
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/uzel-f7-registraciya-2 [zahod/uzel-f7-registraciya-2]	origin/park/2026-09-25/wt-uzel-f7-registraciya-2	ignored files not on GitHub: scratchpad/uzel-f7-registraciya-2/
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/vyvoz-bez-chuzhoj-istorii [zahod/vyvoz-bez-chuzhoj-istorii]	origin/main	ignored files not on GitHub: scratchpad/vyvoz-bez-chuzhoj-istorii/
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/yashchik-golovy [zahod/yashchik-golovy]	origin/park/2026-09-25/wt-yashchik-golovy	ignored files not on GitHub: scratchpad/yashchik-golovy/
