path	kind	origin_url	head_branch	default_branch	dirty_tracked	untracked	porcelain_before	porcelain_after	size_mb	first_commit_date	last_commit_date	commit_count	newest_file_mtime	readme_title	funnel_rule	funnel_rule_strict	dup_group	fetch	head_in_default	dotgit_birth	status_err	dirty_class
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/huk-otchyot-pozicii	worktree	https://github.com/d1-d57/disciplina.git	zahod/huk-otchyot-pozicii	main	0	0	0	0	241.4	2026-08-06T04:08	2026-09-24T08:33	7780	2026-09-24T08:33	disciplina	R2-push	R2-push		ok	no	2026-09-24T07:55		
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/huk-porog-konteksta	worktree	https://github.com/d1-d57/disciplina.git	zahod/huk-porog-konteksta	main	0	0	0	0	238.8	2026-08-06T04:08	2026-09-24T05:29	7340	2026-09-24T05:29	disciplina	R1-ok	R1-ok		ok	no	2026-09-24T00:08		
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/huk-preemnik-zhdyot	worktree	https://github.com/d1-d57/disciplina.git	zahod/huk-preemnik-zhdyot	main	0	0	0	0	241.2	2026-08-06T04:08	2026-09-24T07:49	7734	2026-09-24T07:49	disciplina	R2-push	R2-push		ok	no	2026-09-24T06:57		
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/huk-puti-v-zahodah	worktree	https://github.com/d1-d57/disciplina.git	zahod/huk-puti-v-zahodah	main	0	0	0	0	239.1	2026-08-06T04:08	2026-09-24T03:01	7344	2026-09-24T03:01	disciplina	R2-push	R2-push		ok	no	2026-09-24T00:08		
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/huk-serdce-avto	worktree	https://github.com/d1-d57/disciplina.git	zahod/huk-serdce-avto	main	0	1	1	1	236.9	2026-08-06T04:08	2026-09-23T21:49	7095	2026-09-23T21:51	disciplina	R3-park	R3-park		ok	no	2026-09-23T21:17		work
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/huk-snimok-pered-szhatiem	worktree	https://github.com/d1-d57/disciplina.git	zahod/huk-snimok-pered-szhatiem	main	0	0	0	0	241.1	2026-08-06T04:08	2026-09-24T06:46	7705	2026-09-24T06:45	disciplina	R2-push	R2-push		ok	no	2026-09-24T06:13		
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/huk-start-sessii	worktree	https://github.com/d1-d57/disciplina.git	zahod/huk-start-sessii	main	0	1	1	1	241.7	2026-08-06T04:08	2026-09-24T10:26	7850	2026-09-24T10:58	disciplina	R3-park	R3-park		ok	no	2026-09-24T10:06		work
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/huk-stop-golovy	worktree	https://github.com/d1-d57/disciplina.git	zahod/huk-stop-golovy	main	0	1	1	1	236.4	2026-08-06T04:08	2026-09-23T20:13	6920	2026-09-23T20:28	disciplina	R3-park	R3-park		ok	no	2026-09-23T19:37		work
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/huk-stroka-kruga	worktree	https://github.com/d1-d57/disciplina.git	zahod/huk-stroka-kruga	main	0	0	0	0	238.8	2026-08-06T04:08	2026-09-24T04:48	7347	2026-09-24T04:48	disciplina	R2-push	R2-push		ok	no	2026-09-24T00:08		
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/huk-vyvoz-vetki	worktree	https://github.com/d1-d57/disciplina.git	zahod/huk-vyvoz-vetki	main	0	0	0	0	241.5	2026-08-06T04:08	2026-09-24T09:28	7807	2026-09-24T09:28	disciplina	R2-push	R2-push		ok	no	2026-09-24T08:39		
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/huk-zapret-udaleniya	worktree	https://github.com/d1-d57/disciplina.git	zahod/huk-zapret-udaleniya	main	0	1	1	1	238.0	2026-08-06T04:08	2026-09-23T22:47	7179	2026-09-23T22:55	disciplina	R3-park	R3-park		ok	no	2026-09-23T22:00		work
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/huki-karkas	worktree	https://github.com/d1-d57/disciplina.git	zahod/huki-karkas	main	0	1	1	1	231.7	2026-08-06T04:08	2026-09-23T16:42	6384	2026-09-23T16:42	disciplina	R3-park	R3-park		ok	no	2026-09-23T14:11		work
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/huki-reviziya	worktree	https://github.com/d1-d57/disciplina.git	(detached)	main	0	0	0	0	227.9	2026-08-06T04:08	2026-09-23T12:42	6146	2026-09-23T12:47	disciplina	R9-wt-done	R1-ok		ok	yes	2026-09-23T12:47		
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/hvosty-d10	worktree	https://github.com/d1-d57/disciplina.git	zahod/hvosty-d10	main	0	0	0	0	225.7	2026-08-06T04:08	2026-09-23T10:50	5988	2026-09-23T10:52	disciplina	R9-wt-done	R1-ok		ok	yes	2026-09-23T10:52		
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/hvosty-vynosa	worktree	https://github.com/d1-d57/disciplina.git	zahod/hvosty-vynosa	main	0	1	1	1	117.6	2026-08-06T04:08	2026-08-25T23:20	654	2026-08-26T01:52	disciplina	R10-wt-residue	R3-park		ok	yes	2026-08-25T12:03		scratch-only
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/izmerit-karantin	worktree	https://github.com/d1-d57/disciplina.git	zahod/izmerit-karantin	main	0	1	1	1	217.4	2026-08-06T04:08	2026-09-21T04:22	5081	2026-09-21T04:25	disciplina	R3-park	R3-park		ok	yes	2026-09-20T23:45		work
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/kakie-fikstury	worktree	https://github.com/d1-d57/disciplina.git	zahod/kakie-fikstury	main	1	2	3	3	238.2	2026-08-06T04:08	2026-09-23T23:25	7267	2026-09-23T23:26	disciplina	R3-park	R3-park		ok	no	2026-09-23T23:06		work
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/kanaly-razvedka-sud-pochinka	worktree	https://github.com/d1-d57/disciplina.git	zahod/kanaly-razvedka-sud-pochinka	main	2	2	4	4	263.9	2026-08-06T04:08	2026-09-20T15:46	4693	2026-09-20T15:57	disciplina	R3-park	R3-park		ok	no	2026-09-20T13:03		work
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/kanon-mandata-v-generatore	worktree	https://github.com/d1-d57/disciplina.git	zahod/kanon-mandata-v-generatore	main	0	0	0	0	210.6	2026-08-06T04:08	2026-09-20T01:01	4597	2026-09-20T01:22	disciplina	R9-wt-done	R1-ok		ok	yes	2026-09-20T01:22		
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/karta-gejtov-odnoj-komandoj	worktree	https://github.com/d1-d57/disciplina.git	zahod/karta-gejtov-odnoj-komandoj	main	1	1	2	2	219.7	2026-08-06T04:08	2026-09-21T16:24	5334	2026-09-21T16:27	disciplina	R3-park	R3-park		ok	yes	2026-09-21T13:53		work
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/karta-mashiny-orkestratora	worktree	https://github.com/d1-d57/disciplina.git	zahod/karta-mashiny-orkestratora	main	0	0	0	0	221.6	2026-08-06T04:08	2026-09-23T00:00	5504	2026-09-23T00:06	disciplina	R9-wt-done	R1-ok		ok	yes	2026-09-23T00:06		
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/karta-mashiny-v2	worktree	https://github.com/d1-d57/disciplina.git	zahod/karta-mashiny-v2	main	0	1	1	1	223.7	2026-08-06T04:08	2026-09-23T02:36	5676	2026-09-23T02:39	disciplina	R3-park	R3-park		ok	yes	2026-09-23T02:21		work
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/kartochka-uroka-chem-i-predmet	worktree	https://github.com/d1-d57/disciplina.git	zahod/kartochka-uroka-chem-i-predmet	main	0	0	0	0	221.6	2026-08-06T04:08	2026-09-23T00:00	5504	2026-09-23T00:06	disciplina	R9-wt-done	R1-ok		ok	yes	2026-09-23T00:06		
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/klassy-incidentov-2	worktree	https://github.com/d1-d57/disciplina.git	(detached)	main	0	1	1	1	111.5	2026-08-06T04:08	2026-08-25T01:33	587	2026-08-25T03:32	disciplina	R10-wt-residue	R3-park		ok	yes	2026-08-25T02:54		scratch-only
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/klassy-otkaza-v-dom-orkestratora	worktree	https://github.com/d1-d57/disciplina.git	(detached)	main	1	0	1	1	203.2	2026-08-06T04:08	2026-09-13T20:09	3863	2026-09-13T20:14	disciplina	R10-wt-residue	R3-park		ok	yes	2026-09-13T01:49		generated-only
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/kontekst-vedushchego-v-stroke-kruga	worktree	https://github.com/d1-d57/disciplina.git	zahod/kontekst-vedushchego-v-stroke-kruga	main	0	1	1	1	222.9	2026-08-06T04:08	2026-09-23T02:34	5648	2026-09-23T02:36	disciplina	R3-park	R3-park		ok	yes	2026-09-23T02:04		work
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/kontrakt-roli-prinuzhdaetsya	worktree	https://github.com/d1-d57/disciplina.git	zahod/kontrakt-roli-prinuzhdaetsya	main	1	0	1	1	219.4	2026-08-06T04:08	2026-09-21T15:55	5297	2026-09-21T15:54	disciplina	R10-wt-residue	R3-park		ok	yes	2026-09-21T13:51		generated-only
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/kontury-upravleniya	worktree	https://github.com/d1-d57/disciplina.git	zahod/kontury-upravleniya	main	0	1	1	1	228.1	2026-08-06T04:08	2026-09-23T13:16	6152	2026-09-23T13:20	disciplina	R3-park	R3-park		ok	yes	2026-09-23T12:47		work
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/konvejer-suda-urokov	worktree	https://github.com/d1-d57/disciplina.git	zahod/konvejer-suda-urokov	main	0	1	1	1	216.6	2026-08-06T04:08	2026-09-21T01:24	4944	2026-09-21T01:28	disciplina	R3-park	R3-park		ok	yes	2026-09-20T23:44		work
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/korpus-generatorov-i-tipov	worktree	https://github.com/d1-d57/disciplina.git	zahod/korpus-generatorov-i-tipov	main	0	2	2	2	263.6	2026-08-06T04:08	2026-09-20T11:33	4670	2026-09-20T14:26	disciplina	R3-park	R3-park		ok	yes	2026-09-20T11:34		work
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/korpus-mehanika	worktree	https://github.com/d1-d57/disciplina.git	zahod/korpus-mehanika	main	2	6	8	8	215.1	2026-08-06T04:08	2026-09-20T16:18	4710	2026-09-20T16:23	disciplina	R3-park	R3-park		ok	yes	2026-09-20T14:47		work
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/korpus-pravil-i-rychagov	worktree	https://github.com/d1-d57/disciplina.git	zahod/korpus-pravil-i-rychagov	main	0	2	2	2	263.6	2026-08-06T04:08	2026-09-20T11:48	4668	2026-09-20T14:26	disciplina	R3-park	R3-park		ok	no	2026-09-20T11:23		work
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/korpus-urokov	worktree	https://github.com/d1-d57/disciplina.git	zahod/korpus-urokov	main	2	5	7	7	264.9	2026-08-06T04:08	2026-09-20T11:21	4665	2026-09-20T14:36	disciplina	R3-park	R3-park		ok	yes	2026-09-20T11:21		work
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/krug-rychag-i-utrennij-otchyot	worktree	https://github.com/d1-d57/disciplina.git	zahod/krug-rychag-i-utrennij-otchyot	main	0	1	1	1	216.6	2026-08-06T04:08	2026-09-21T03:28	4945	2026-09-21T03:30	disciplina	R3-park	R3-park		ok	yes	2026-09-20T23:47		work
/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/kuski-sostava-bez-zapora	worktree	https://github.com/d1-d57/disciplina.git	zahod/kuski-sostava-bez-zapora	main	0	1	1	1	279.2	2026-08-06T04:08	2026-09-23T17:06	6022	2026-09-23T17:10	disciplina	R3-park	R3-park		ok	no	2026-09-23T11:05		work
