repo_path	branch	has_upstream	ahead	behind	in_default	last_commit_date	checked_out_in
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/nadzor-volny-iz-cowork	yes	0	0	yes	2026-09-23T11:00	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/nadzor-volny-iz-cowork
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/opis-komponentov	yes	0	0	yes	2026-09-23T13:10	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/opis-komponentov
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/ostatok-generatora	yes	0	0	yes	2026-08-25T23:28	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/ostatok-generatora
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/pechat-imeni-ne-vyzov	no	n/a	n/a	yes	2026-09-23T00:00	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/pechat-imeni-ne-vyzov
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/peredacha-golovy-odnoj-komandoj	yes	0	0	yes	2026-09-23T02:25	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/peredacha-golovy-odnoj-komandoj
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/peredacha-ne-stiraet-ruchnoe	yes	0	0	no	2026-09-23T17:21	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/peredacha-ne-stiraet-ruchnoe
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/peresud-k-zhivoj-forme	yes	0	0	yes	2026-09-21T15:27	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/peresud-k-zhivoj-forme
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/perevod-workflow-obzor	yes	0	0	yes	2026-08-30T19:31	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/perevod-workflow-obzor
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/perimetr-gejtov-skilly	yes	0	0	yes	2026-09-23T12:30	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/perimetr-gejtov-skilly
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/plagin-md-hook-matcher	yes	0	0	no	2026-09-23T22:10	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/plagin-md-hook-matcher
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/pochta-dver	no	n/a	n/a	no	2026-09-23T23:50	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/pochta-dver
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/podmetanie-dvazhdy-za-volnu	yes	0	0	yes	2026-09-21T03:28	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/podmetanie-dvazhdy-za-volnu
/Users/ivanyakovlev/Documents/GitHub/disciplina	zahod/podmetanie-raz-na-volnu	yes	0	0	yes	2026-09-21T15:39	/Users/ivanyakovlev/Documents/GitHub/disciplina-wt/podmetanie-raz-na-volnu
